accession,organism,type,start,end,length,strand,label
MG724915.1,Cedrela odorata,CDS,75278,76805,1527,1,1
MG724915.1,Cedrela odorata,CDS,76988,77096,108,1,1
MG724915.1,Cedrela odorata,CDS,77156,77288,132,-1,1
MG724915.1,Cedrela odorata,CDS,77392,77614,222,1,1
MG724915.1,Cedrela odorata,CDS,77733,79193,1460,1,1
MG724915.1,Cedrela odorata,CDS,79387,80596,1209,1,1
MG724915.1,Cedrela odorata,CDS,80826,81831,1005,-1,1
MG724915.1,Cedrela odorata,CDS,81895,82312,417,-1,1
MG724915.1,Cedrela odorata,CDS,82429,82543,114,-1,1
MG724915.1,Cedrela odorata,CDS,82934,83339,405,-1,1
MG724915.1,Cedrela odorata,CDS,83500,83869,369,-1,1
MG724915.1,Cedrela odorata,CDS,83997,85323,1326,-1,1
MG724915.1,Cedrela odorata,CDS,85477,86137,660,-1,1
MG724915.1,Cedrela odorata,CDS,86121,86607,486,-1,1
MG724915.1,Cedrela odorata,CDS,86652,86931,279,-1,1
MG724915.1,Cedrela odorata,CDS,86999,88494,1495,-1,1
MG724915.1,Cedrela odorata,CDS,88512,88794,282,-1,1
MG724915.1,Cedrela odorata,tRNA,88959,89033,74,-1,0
MG724915.1,Cedrela odorata,CDS,89121,95955,6834,1,1
MG724915.1,Cedrela odorata,tRNA,96945,97026,81,-1,0
MG724915.1,Cedrela odorata,CDS,97614,99828,2214,-1,1
MG724915.1,Cedrela odorata,CDS,100150,100618,468,-1,1
MG724915.1,Cedrela odorata,tRNA,103262,103334,72,1,0
MG724915.1,Cedrela odorata,rRNA,103574,105065,1491,1,0
MG724915.1,Cedrela odorata,tRNA,105359,106390,1031,1,0
MG724915.1,Cedrela odorata,tRNA,106460,107373,913,1,0
MG724915.1,Cedrela odorata,rRNA,107536,110346,2810,1,0
MG724915.1,Cedrela odorata,rRNA,110444,110547,103,1,0
MG724915.1,Cedrela odorata,rRNA,110771,110892,121,1,0
MG724915.1,Cedrela odorata,tRNA,111141,111215,74,1,0
MG724915.1,Cedrela odorata,tRNA,111799,111871,72,-1,0
MG724915.1,Cedrela odorata,CDS,113254,115483,2229,-1,1
MG724915.1,Cedrela odorata,CDS,116466,116625,159,1,1
MG724915.1,Cedrela odorata,tRNA,117708,117788,80,1,0
MG724915.1,Cedrela odorata,CDS,117891,118851,960,1,1
MG724915.1,Cedrela odorata,CDS,119166,120666,1500,-1,1
MG724915.1,Cedrela odorata,CDS,120830,121076,246,-1,1
MG724915.1,Cedrela odorata,CDS,121299,121605,306,-1,1
MG724915.1,Cedrela odorata,CDS,121863,122400,537,-1,1
MG724915.1,Cedrela odorata,CDS,122680,123184,504,-1,1
MG724915.1,Cedrela odorata,CDS,123265,125451,2186,-1,1
MG724915.1,Cedrela odorata,CDS,125452,126649,1197,-1,1
MG724915.1,Cedrela odorata,CDS,126751,127024,273,-1,1
MG724915.1,Cedrela odorata,CDS,127386,132738,5352,-1,1
MG724915.1,Cedrela odorata,tRNA,133073,133145,72,1,0
MG724915.1,Cedrela odorata,tRNA,133729,133803,74,-1,0
MG724915.1,Cedrela odorata,rRNA,134052,134173,121,-1,0
MG724915.1,Cedrela odorata,rRNA,134397,134500,103,-1,0
MG724915.1,Cedrela odorata,rRNA,134598,137408,2810,-1,0
MG724915.1,Cedrela odorata,tRNA,137571,138484,913,-1,0
MG724915.1,Cedrela odorata,tRNA,138554,139585,1031,-1,0
MG724915.1,Cedrela odorata,rRNA,139879,141370,1491,-1,0
MG724915.1,Cedrela odorata,tRNA,141610,141682,72,-1,0
MG724915.1,Cedrela odorata,CDS,144326,144794,468,1,1
MG724915.1,Cedrela odorata,CDS,145116,147330,2214,1,1
MG724915.1,Cedrela odorata,tRNA,147918,147999,81,1,0
MG724915.1,Cedrela odorata,CDS,148989,155823,6834,-1,1
MG724915.1,Cedrela odorata,tRNA,155911,155985,74,1,0
MG724915.1,Cedrela odorata,CDS,156150,156432,282,1,1
MG724915.1,Cedrela odorata,CDS,156450,157945,1495,1,1
MG724915.1,Cedrela odorata,CDS,158013,158292,279,1,1
