accession,organism,type,start,end,length,strand,label
MF401522,Carapa guianensis,CDS,77961,78183,222,1,1
MF401522,Carapa guianensis,CDS,78303,79758,1455,1,1
MF401522,Carapa guianensis,CDS,79967,81165,1198,1,1
MF401522,Carapa guianensis,CDS,81417,82401,984,-1,1
MF401522,Carapa guianensis,CDS,82465,82882,417,-1,1
MF401522,Carapa guianensis,CDS,82999,83113,114,-1,1
MF401522,Carapa guianensis,CDS,83610,84015,405,-1,1
MF401522,Carapa guianensis,CDS,84178,84547,369,-1,1
MF401522,Carapa guianensis,CDS,84675,86006,1331,-1,1
MF401522,Carapa guianensis,CDS,86154,86814,660,-1,1
MF401522,Carapa guianensis,CDS,86798,87269,471,-1,1
MF401522,Carapa guianensis,CDS,87314,87593,279,-1,1
MF401522,Carapa guianensis,CDS,87661,89170,1509,-1,1
MF401522,Carapa guianensis,CDS,89188,89470,282,-1,1
MF401522,Carapa guianensis,tRNA,89635,89709,74,-1,0
MF401522,Carapa guianensis,CDS,89797,96679,6882,1,1
MF401522,Carapa guianensis,tRNA,97688,97769,81,-1,0
MF401522,Carapa guianensis,CDS,98357,100571,2214,-1,1
MF401522,Carapa guianensis,CDS,100893,101361,468,-1,1
MF401522,Carapa guianensis,tRNA,104013,104085,72,1,0
MF401522,Carapa guianensis,rRNA,104325,105816,1491,1,0
MF401522,Carapa guianensis,tRNA,106110,107141,1031,1,0
MF401522,Carapa guianensis,tRNA,107211,108124,913,1,0
MF401522,Carapa guianensis,rRNA,108287,111097,2810,1,0
MF401522,Carapa guianensis,rRNA,111195,111298,103,1,0
MF401522,Carapa guianensis,rRNA,111554,111675,121,1,0
MF401522,Carapa guianensis,tRNA,111926,112000,74,1,0
MF401522,Carapa guianensis,tRNA,112620,112692,72,-1,0
MF401522,Carapa guianensis,CDS,113045,114182,1137,1,1
MF401522,Carapa guianensis,CDS,114115,116344,2229,-1,1
MF401522,Carapa guianensis,CDS,117342,117504,162,1,1
MF401522,Carapa guianensis,tRNA,118585,118665,80,1,0
MF401522,Carapa guianensis,CDS,118769,119729,960,1,1
MF401522,Carapa guianensis,CDS,120029,121532,1503,-1,1
MF401522,Carapa guianensis,CDS,121696,121942,246,-1,1
MF401522,Carapa guianensis,CDS,122175,122481,306,-1,1
MF401522,Carapa guianensis,CDS,122739,123276,537,-1,1
MF401522,Carapa guianensis,CDS,123462,123966,504,-1,1
MF401522,Carapa guianensis,CDS,124047,126237,2190,-1,1
MF401522,Carapa guianensis,CDS,126238,127420,1182,-1,1
MF401522,Carapa guianensis,CDS,127514,127787,273,-1,1
MF401522,Carapa guianensis,CDS,128140,133483,5343,-1,1
MF401522,Carapa guianensis,tRNA,133836,133908,72,1,0
MF401522,Carapa guianensis,tRNA,134528,134602,74,-1,0
MF401522,Carapa guianensis,rRNA,134853,134974,121,-1,0
MF401522,Carapa guianensis,rRNA,135230,135333,103,-1,0
MF401522,Carapa guianensis,rRNA,135431,138241,2810,-1,0
MF401522,Carapa guianensis,tRNA,138404,139317,913,-1,0
MF401522,Carapa guianensis,tRNA,139387,140418,1031,-1,0
MF401522,Carapa guianensis,rRNA,140712,142203,1491,-1,0
MF401522,Carapa guianensis,tRNA,142443,142515,72,-1,0
MF401522,Carapa guianensis,CDS,145167,145635,468,1,1
MF401522,Carapa guianensis,CDS,145957,148171,2214,1,1
MF401522,Carapa guianensis,tRNA,148759,148840,81,1,0
MF401522,Carapa guianensis,CDS,149849,156731,6882,-1,1
MF401522,Carapa guianensis,tRNA,156819,156893,74,1,0
MF401522,Carapa guianensis,CDS,157058,157340,282,1,1
MF401522,Carapa guianensis,CDS,157358,158867,1509,1,1
MF401522,Carapa guianensis,CDS,158935,159214,279,1,1
